Index,Start_Ticks,Start_Time,Pitch,Velocity,Duration_Ticks,Duration,Source,Slur_Category,Notes
33,5200,10.83333333,G3,48,1001,2.085416667,raw_midi,1,
34,5358,11.1625,C4,65,852,1.775,raw_midi,2,
35,5514,11.4875,E4,79,712,1.483333333,raw_midi,3,
36,5674,11.82083333,A4,78,220,0.4583333333,raw_midi,1,
37,5855,12.19791667,C6,89,231,0.48125,raw_midi,3,
38,6021,12.54375,B5,95,94,0.1958333333,raw_midi,4,
39,6241,13.00208333,A5,84,1423,2.964583333,raw_midi,1,
40,6434,13.40416667,F#3,51,1229,2.560416667,raw_midi,1,
41,6648,13.85,A3,52,692,1.441666667,raw_midi_overlapped,2,
42,6821,14.21041667,D4,51,168,0.35,raw_midi,3,
43,6821,14.21041667,G5,72,843,1.75625,raw_midi,2,
44,6989,14.56041667,D4,43,672,1.4,raw_midi,3,
45,6991,14.56458333,F#5,79,673,1.402083333,raw_midi,2,
46,7151,14.89791667,E5,84,512,1.066666667,raw_midi,2,
47,7185,14.96875,D3,52,479,0.9979166667,raw_midi,1,
48,7328,15.26666667,D5,79,337,0.7020833333,raw_midi,2,
49,7340,15.29166667,A3,56,4,0.008333333333,raw_midi,2,
50,7500,15.625,C5,78,204,0.425,raw_midi_overlapped,3,
51,7503,15.63125,C4,59,166,0.3458333333,raw_midi_overlapped,3,
52,7665,15.96875,D5,79,91,0.1895833333,raw_midi,4,
53,7669,15.97708333,C4,50,1,0.002083333333,raw_midi,3,
54,7704,16.05,C5,66,5,0.01041666667,raw_midi,1,
55,7975,16.61458333,B4,68,796,1.658333333,raw_midi,2,
56,8013,16.69375,G3,45,762,1.5875,raw_midi,1,
57,8203,17.08958333,B3,65,566,1.179166667,raw_midi,2,
58,8394,17.4875,D4,60,385,0.8020833333,raw_midi,3,
59,8395,17.48958333,G5,77,195,0.40625,raw_midi_overlapped,3,
60,8590,17.89583333,G5,69,1,0.002083333333,raw_midi,1,
61,8760,18.25,A4,67,1328,2.766666667,raw_midi,2,
62,8769,18.26875,C3,59,279,0.58125,raw_midi,1,
63,8961,18.66875,E3,59,1138,2.370833333,raw_midi,2,
64,9134,19.02916667,E5,68,211,0.4395833333,raw_midi_overlapped,3,
65,9143,19.04791667,A3,51,945,1.96875,raw_midi,3,
66,9345,19.46875,E5,59,5,0.01041666667,raw_midi,1,
67,9489,19.76875,G4,57,600,1.25,raw_midi,2,
68,9498,19.7875,D3,51,591,1.23125,raw_midi,1,
69,9703,20.21458333,G3,60,385,0.8020833333,raw_midi,2,
70,9863,20.54791667,B3,55,227,0.4729166667,raw_midi,3,
71,9863,20.54791667,D5,69,223,0.4645833333,raw_midi,3,
72,10093,21.02708333,D5,62,856,1.783333333,raw_midi,1,
73,10288,21.43333333,D2,45,661,1.377083333,raw_midi,1,
74,10291,21.43958333,C4,54,228,0.475,raw_midi_overlapped,2,
75,10516,21.90833333,A2,54,430,0.8958333333,raw_midi,2,
76,10519,21.91458333,C4,38,2,0.004166666667,raw_midi,2,
77,10705,22.30208333,F#4,53,253,0.5270833333,raw_midi,3,
78,10980,22.875,G2,48,770,1.604166667,raw_midi_overlapped,1,
79,10988,22.89166667,G4,56,3123,6.50625,raw_midi,4,
80,11200,23.33333333,B2,49,356,0.7416666667,raw_midi,2,
81,11400,23.75,D3,37,731,1.522916667,raw_midi,2,
82,11559,24.08125,B2,50,379,0.7895833333,raw_midi_overlapped,3,
83,11750,24.47916667,G2,43,1,0.002083333333,raw_midi,1,
84,11938,24.87083333,B2,51,3,0.00625,raw_midi,2,
85,12129,25.26875,D5,61,360,0.75,raw_midi,4,
86,12136,25.28333333,D3,39,705,1.46875,raw_midi,2,
87,12319,25.66458333,B2,54,1,0.002083333333,raw_midi,3,
88,12494,26.02916667,G2,46,721,1.502083333,raw_midi_overlapped,1,
89,12494,26.02916667,D5,71,344,0.7166666667,raw_midi,1,
90,12676,26.40833333,B2,58,5,0.01041666667,raw_midi,2,
91,12839,26.74791667,D5,77,352,0.7333333333,raw_midi,2,
92,12841,26.75208333,D3,48,705,1.46875,raw_midi_overlapped,2,
93,13018,27.12083333,B2,58,1,0.002083333333,raw_midi,3,
94,13191,27.48125,D5,74,312,0.65,raw_midi,3,
95,13215,27.53125,G2,51,4,0.008333333333,raw_midi,1,
96,13369,27.85208333,B2,63,4,0.008333333333,raw_midi,2,
97,13451,28.02291667,E5,76,114,0.2375,raw_midi,4,
98,13504,28.13333333,D5,82,145,0.3020833333,raw_midi,4,
99,13546,28.22083333,D3,59,4,0.008333333333,raw_midi,2,
100,13568,28.26666667,E5,83,505,1.052083333,raw_midi,4,
101,13650,28.4375,D5,82,200,0.4166666667,raw_midi_overlapped,4,
102,13688,28.51666667,B2,62,393,0.81875,raw_midi,3,
103,13740,28.625,C#5,88,340,0.7083333333,raw_midi,4,
104,13850,28.85416667,D5,88,3,0.00625,raw_midi,4,
105,13868,28.89166667,D3,36,3,0.00625,raw_midi,2,
106,14075,29.32291667,E5,83,843,1.75625,raw_midi,1,
107,14084,29.34166667,A2,51,786,1.6375,raw_midi,1,
108,14270,29.72916667,C3,59,405,0.84375,raw_midi,2,
109,14483,30.17291667,F#3,54,410,0.8541666667,raw_midi,2,
110,14679,30.58125,C3,55,214,0.4458333333,raw_midi,3,
111,14874,30.9875,A2,41,706,1.470833333,raw_midi,1,
112,14875,30.98958333,D5,63,1224,2.55,raw_midi,3,
113,15066,31.3875,C3,44,348,0.725,raw_midi_overlapped,2,
114,15234,31.7375,F#3,50,710,1.479166667,raw_midi_overlapped,2,
115,15414,32.1125,C3,55,4,0.008333333333,raw_midi,3,
116,15581,32.46041667,A2,44,553,1.152083333,raw_midi,1,
117,15771,32.85625,C3,58,2,0.004166666667,raw_midi,2,
118,15944,33.21666667,F#3,57,4,0.008333333333,raw_midi,2,
119,16103,33.54791667,D5,78,111,0.23125,raw_midi,4,
120,16123,33.58958333,C3,52,8,0.01666666667,raw_midi,3,
121,16274,33.90416667,D5,80,41,0.08541666667,raw_midi,1,
122,16278,33.9125,A2,53,481,1.002083333,raw_midi_overlapped,1,
123,16426,34.22083333,D5,88,50,0.1041666667,raw_midi,2,
124,16456,34.28333333,C3,54,305,0.6354166667,raw_midi,2,
125,16598,34.57916667,F#3,52,341,0.7104166667,raw_midi,2,
126,16600,34.58333333,D5,87,151,0.3145833333,raw_midi,2,
127,16755,34.90625,D5,91,236,0.4916666667,raw_midi,3,
128,16759,34.91458333,A2,43,2,0.004166666667,raw_midi,3,
129,16761,34.91875,C3,50,178,0.3708333333,raw_midi,3,
130,16968,35.35,E5,84,798,1.6625,raw_midi,1,
131,17000,35.41666667,B2,62,739,1.539583333,raw_midi_overlapped,1,
132,17228,35.89166667,D3,55,330,0.6875,raw_midi,2,
133,17380,36.20833333,G3,55,383,0.7979166667,raw_midi,2,
134,17559,36.58125,D3,52,206,0.4291666667,raw_midi,3,
135,17739,36.95625,B2,47,1,0.002083333333,raw_midi,1,
136,17739,36.95625,D5,59,1027,2.139583333,raw_midi_overlapped,3,
137,17919,37.33125,D3,50,349,0.7270833333,raw_midi,2,
138,18081,37.66875,G3,45,722,1.504166667,raw_midi_overlapped,2,
139,18270,38.0625,D3,26,344,0.7166666667,raw_midi,3,
140,18405,38.34375,B2,55,699,1.45625,raw_midi,1,
141,18618,38.7875,D3,52,246,0.5125,raw_midi,2,
142,18766,39.09583333,D5,65,2,0.004166666667,raw_midi,1,
143,18803,39.17291667,G3,43,3,0.00625,raw_midi,2,
144,18946,39.47083333,D3,61,345,0.71875,raw_midi_overlapped,3,
145,19105,39.80208333,B2,64,501,1.04375,raw_midi,1,
146,19291,40.18958333,D3,42,4,0.008333333333,raw_midi,2,
147,19293,40.19375,E5,49,108,0.225,raw_midi,2,
148,19354,40.32083333,D5,74,117,0.24375,raw_midi,3,
149,19449,40.51875,G3,56,167,0.3479166667,raw_midi,2,
150,19449,40.51875,C5,75,39,0.08125,raw_midi,4,
151,19619,40.87291667,D3,59,120,0.25,raw_midi,3,
152,19619,40.87291667,B4,74,119,0.2479166667,raw_midi,4,
153,19814,41.27916667,B4,61,762,1.5875,raw_midi,1,
154,19819,41.28958333,C3,53,752,1.566666667,raw_midi,1,
155,20038,41.74583333,E3,55,340,0.7083333333,raw_midi,2,
156,20194,42.07083333,A4,63,867,1.80625,raw_midi,2,
157,20205,42.09375,A3,51,371,0.7729166667,raw_midi,2,
158,20383,42.46458333,E3,48,193,0.4020833333,raw_midi,3,
159,20565,42.84375,C#3,48,666,1.3875,raw_midi,1,
160,20735,43.19791667,E3,56,494,1.029166667,raw_midi,2,
161,20859,43.45625,G4,63,290,0.6041666667,raw_midi,3,
162,20896,43.53333333,A3,46,334,0.6958333333,raw_midi,2,
163,21049,43.85208333,F#4,57,176,0.3666666667,raw_midi,4,
164,21153,44.06875,G4,70,71,0.1479166667,raw_midi,4,
165,21231,44.23125,A4,69,92,0.1916666667,raw_midi,4,
166,21278,44.32916667,D3,55,780,1.625,raw_midi_overlapped,1,
167,21319,44.41458333,G4,72,727,1.514583333,raw_midi,1,
168,21519,44.83125,F#3,58,345,0.71875,raw_midi_overlapped,2,
169,21693,45.19375,A3,57,351,0.73125,raw_midi,2,
170,21693,45.19375,F#4,59,1103,2.297916667,raw_midi,2,
171,21864,45.55,F#3,57,5,0.01041666667,raw_midi,3,
172,22058,45.95416667,D3,61,2,0.004166666667,raw_midi,1,
173,22238,46.32916667,F#3,51,353,0.7354166667,raw_midi,2,
174,22398,46.6625,D5,80,372,0.775,raw_midi,3,
175,22414,46.69583333,B3,58,405,0.84375,raw_midi,2,
176,22593,47.06875,F#3,50,203,0.4229166667,raw_midi,3,
177,22773,47.44375,D5,81,1525,3.177083333,raw_midi,1,
178,22813,47.52708333,E3,48,703,1.464583333,raw_midi,1,
179,22821,47.54375,B3,38,248,0.5166666667,raw_midi,2,
180,22989,47.89375,G3,53,361,0.7520833333,raw_midi_overlapped,2,
181,23163,48.25625,C#5,80,1038,2.1625,raw_midi,2,
182,23169,48.26875,B3,49,1106,2.304166667,raw_midi,2,
183,23350,48.64583333,G3,58,1,0.002083333333,raw_midi,3,
184,23518,48.99583333,E3,63,757,1.577083333,raw_midi,1,
185,23694,49.3625,G3,69,310,0.6458333333,raw_midi,2,
186,23825,49.63541667,B4,76,311,0.6479166667,raw_midi,3,
187,23868,49.725,C#4,57,407,0.8479166667,raw_midi,2,
188,24004,50.00833333,G3,62,272,0.5666666667,raw_midi,3,
189,24055,50.11458333,A4,73,219,0.45625,raw_midi,4,
190,24136,50.28333333,B4,82,185,0.3854166667,raw_midi_overlapped,4,
191,24201,50.41875,C#5,77,1498,3.120833333,raw_midi,4,
192,24321,50.66875,B4,70,5,0.01041666667,raw_midi,1,
193,24325,50.67708333,F#3,54,693,1.44375,raw_midi,1,
194,24531,51.10625,A3,62,310,0.6458333333,raw_midi,2,
195,24685,51.42708333,C#4,61,409,0.8520833333,raw_midi,2,
196,24686,51.42916667,A4,76,1109,2.310416667,raw_midi,2,
197,24844,51.75833333,A3,61,351,0.73125,raw_midi_overlapped,3,
198,25021,52.12708333,F#3,69,764,1.591666667,raw_midi,1,
199,25195,52.48958333,A3,75,5,0.01041666667,raw_midi,2,
200,25373,52.86041667,F#5,96,355,0.7395833333,raw_midi,3,
201,25380,52.875,D4,63,393,0.81875,raw_midi,2,
202,25540,53.20833333,A3,71,255,0.53125,raw_midi,3,
203,25733,53.61041667,F#5,96,1627,3.389583333,raw_midi,1,
204,25771,53.68958333,G3,52,1592,3.316666667,raw_midi,1,
205,25933,54.02708333,B3,76,358,0.7458333333,raw_midi,2,
206,26109,54.39375,E5,98,1254,2.6125,raw_midi,2,
207,26110,54.39583333,E4,69,789,1.64375,raw_midi,2,
208,26291,54.77291667,B3,70,383,0.7979166667,raw_midi_overlapped,3,
209,26486,55.17916667,G#3,60,877,1.827083333,raw_midi,1,
210,26674,55.57083333,B3,58,4,0.008333333333,raw_midi,2,
211,26860,55.95833333,D5,85,460,0.9583333333,raw_midi_overlapped,3,
212,26899,56.03958333,E4,47,490,1.020833333,raw_midi,2,
213,27050,56.35416667,B3,52,311,0.6479166667,raw_midi,3,
214,27320,56.91666667,D5,72,1,0.002083333333,raw_midi,1,
215,27358,56.99583333,A3,47,691,1.439583333,raw_midi,1,
216,27538,57.37083333,E4,46,348,0.725,raw_midi_overlapped,2,
217,27680,57.66666667,C#5,79,1096,2.283333333,raw_midi,2,
218,27701,57.71041667,B3,37,1089,2.26875,raw_midi,2,
219,27886,58.09583333,E4,48,2,0.004166666667,raw_midi,3,
220,28055,58.44791667,A3,46,718,1.495833333,raw_midi_overlapped,1,
221,28210,58.77083333,D4,59,348,0.725,raw_midi_overlapped,2,
222,28361,59.08541667,B4,61,380,0.7916666667,raw_midi,3,
223,28403,59.17291667,G#4,43,372,0.775,raw_midi,2,
224,28558,59.49583333,D4,54,1,0.002083333333,raw_midi,3,
225,28744,59.88333333,B4,59,1457,3.035416667,raw_midi,1,
226,28773,59.94375,A3,38,2,0.004166666667,raw_midi,1,
227,28936,60.28333333,C#4,60,313,0.6520833333,raw_midi,2,
228,29093,60.61041667,A4,61,1081,2.252083333,raw_midi,3,
229,29126,60.67916667,E4,40,535,1.114583333,raw_midi_overlapped,2,
230,29253,60.94375,C#4,56,408,0.85,raw_midi_overlapped,3,
231,29444,61.34166667,A3,57,709,1.477083333,raw_midi,1,
232,29554,61.57083333,D5,66,419,0.8729166667,raw_midi,1,
233,29659,61.78958333,E5,71,196,0.4083333333,raw_midi,2,
234,29661,61.79375,C#4,41,3,0.00625,raw_midi,2,
235,29661,61.79375,E4,55,3,0.00625,raw_midi,2,
236,29760,62,F#5,77,418,0.8708333333,raw_midi,2,
237,29823,62.13125,G#4,54,387,0.80625,raw_midi,2,
238,29856,62.2,E5,84,320,0.6666666667,raw_midi,2,
239,29975,62.44791667,D5,82,175,0.3645833333,raw_midi_overlapped,3,
240,29980,62.45833333,E4,56,371,0.7729166667,raw_midi_overlapped,3,
241,30150,62.8125,D5,71,3,0.00625,raw_midi,1,
242,30158,62.82916667,A3,58,658,1.370833333,raw_midi_overlapped,1,
243,30351,63.23125,E4,51,4,0.008333333333,raw_midi,2,
244,30506,63.55416667,C#5,66,517,1.077083333,raw_midi_overlapped,3,
245,30513,63.56875,A4,43,956,1.991666667,raw_midi,2,
246,30669,63.89375,E4,55,780,1.625,raw_midi,3,
247,30816,64.2,A3,61,2,0.004166666667,raw_midi,1,
248,30915,64.40625,B4,64,416,0.8666666667,raw_midi_overlapped,1,
249,31021,64.62708333,D4,58,290,0.6041666667,raw_midi_overlapped,2,
250,31023,64.63125,C#5,77,7,0.01458333333,raw_midi,2,
251,31125,64.84375,D5,75,318,0.6625,raw_midi,2,
252,31166,64.92916667,G#4,51,543,1.13125,raw_midi,2,
253,31180,64.95833333,A3,43,38,0.07916666667,raw_midi_overlapped,2,
254,31218,65.0375,A3,50,1,0.002083333333,raw_midi,2,
255,31224,65.05,C#5,83,220,0.4583333333,raw_midi,2,
256,31311,65.23125,D4,57,4,0.008333333333,raw_midi,3,
257,31331,65.27291667,B4,77,3,0.00625,raw_midi,3,
258,31511,65.64791667,B4,63,304,0.6333333333,raw_midi,1,
259,31514,65.65416667,A3,51,652,1.358333333,raw_midi_overlapped,1,
260,31690,66.02083333,C#4,59,129,0.26875,raw_midi,2,
261,31849,66.35208333,A4,55,949,1.977083333,raw_midi,3,
262,31856,66.36666667,E4,42,485,1.010416667,raw_midi,2,
263,31999,66.66458333,C#4,56,800,1.666666667,raw_midi,3,
264,32166,67.0125,A3,59,3,0.00625,raw_midi,1,
265,32260,67.20833333,D5,55,414,0.8625,raw_midi,1,
266,32346,67.3875,E4,62,323,0.6729166667,raw_midi,2,
267,32358,67.4125,E5,74,212,0.4416666667,raw_midi_overlapped,2,
268,32468,67.64166667,F#5,69,331,0.6895833333,raw_midi,2,
269,32510,67.72916667,G#4,48,289,0.6020833333,raw_midi,2,
270,32570,67.85416667,E5,72,4,0.008333333333,raw_midi,2,
271,32668,68.05833333,E3,47,10,0.02083333333,raw_midi,2,
272,32671,68.06458333,E4,51,127,0.2645833333,raw_midi,3,
273,32675,68.07291667,D5,73,128,0.2666666667,raw_midi,3,
274,32799,68.33125,A3,59,654,1.3625,raw_midi_overlapped,1,
275,32804,68.34166667,D5,69,227,0.4729166667,raw_midi_overlapped,1,
276,32916,68.575,C#5,78,418,0.8708333333,raw_midi,2,
277,32956,68.65833333,E4,56,304,0.6333333333,raw_midi_overlapped,2,
278,33031,68.81458333,D5,80,2,0.004166666667,raw_midi,2,
279,33133,69.02708333,A4,50,1196,2.491666667,raw_midi,2,
280,33135,69.03125,E5,76,1185,2.46875,raw_midi,2,
281,33240,69.25,D5,75,1,0.002083333333,raw_midi,2,
282,33260,69.29166667,E4,54,4,0.008333333333,raw_midi,3,
283,33334,69.44583333,C#5,74,121,0.2520833333,raw_midi,3,
284,33453,69.69375,A3,62,2,0.004166666667,raw_midi,1,
285,33460,69.70833333,C#5,79,231,0.48125,raw_midi,1,
286,33573,69.94375,B4,82,446,0.9291666667,raw_midi,2,
287,33634,70.07083333,D4,63,164,0.3416666667,raw_midi,2,
288,33691,70.18958333,C#5,82,210,0.4375,raw_midi,2,
289,33798,70.4125,D5,75,3,0.00625,raw_midi,2,
290,33799,70.41458333,D4,54,159,0.33125,raw_midi_overlapped,2,
291,33804,70.425,G#4,57,650,1.354166667,raw_midi,2,
292,33901,70.62708333,C#5,78,885,1.84375,raw_midi_overlapped,2,
293,33958,70.74583333,D4,56,2,0.004166666667,raw_midi,3,
294,34023,70.88125,B4,74,158,0.3291666667,raw_midi_overlapped,3,
295,34181,71.21041667,B4,81,4,0.008333333333,raw_midi,1,
296,34215,71.28125,C#4,57,638,1.329166667,raw_midi,4,
297,34218,71.2875,E4,47,648,1.35,raw_midi,4,
298,34329,71.51875,A4,71,255,0.53125,raw_midi,2,
299,34454,71.77916667,G#4,77,912,1.9,raw_midi,2,
300,34585,72.05208333,A4,75,268,0.5583333333,raw_midi,2,
301,34698,72.2875,B4,80,831,1.73125,raw_midi,2,
302,34786,72.47083333,C#5,80,4,0.008333333333,raw_midi,3,
303,34886,72.67916667,D5,88,663,1.38125,raw_midi,4,
304,34985,72.88541667,D#5,82,558,1.1625,raw_midi,4,
305,35074,73.07083333,E5,93,469,0.9770833333,raw_midi,4,
306,35158,73.24583333,F5,99,386,0.8041666667,raw_midi,4,
307,35244,73.425,F#5,98,299,0.6229166667,raw_midi,4,
308,35334,73.6125,G5,98,210,0.4375,raw_midi,4,
309,35444,73.84166667,G#5,101,421,0.8770833333,raw_midi,4,
310,35603,74.17291667,A5,93,378,0.7875,raw_midi,4,
311,35983,74.96458333,A5,96,435,0.90625,raw_midi_overlapped,4,
312,36418,75.87083333,A5,78,3,0.00625,raw_midi,4,
313,36865,76.80208333,A5,73,1,0.002083333333,raw_midi,4,
314,37413,77.94375,A5,62,813,1.69375,raw_midi,1,
315,37448,78.01666667,F#5,51,798,1.6625,raw_midi,1,
316,37633,78.40208333,D2,35,772,1.608333333,raw_midi,1,
317,37859,78.87291667,D3,51,560,1.166666667,raw_midi,3,
318,38028,79.225,G#5,74,736,1.533333333,raw_midi,3,
319,38030,79.22916667,F5,62,465,0.96875,raw_midi,3,
320,38230,79.64583333,A5,89,765,1.59375,raw_midi,1,
321,38249,79.68541667,F#5,81,775,1.614583333,raw_midi,1,
322,38420,80.04166667,D3,60,620,1.291666667,raw_midi,1,
323,38596,80.40833333,D4,65,444,0.925,raw_midi,3,
324,38768,80.76666667,G#5,91,273,0.56875,raw_midi,3,
325,38770,80.77083333,F5,74,274,0.5708333333,raw_midi,3,
326,38999,81.24791667,A5,88,2425,5.052083333,raw_midi,1,
327,39026,81.30416667,F#5,76,862,1.795833333,raw_midi,1,
328,39195,81.65625,D4,61,2210,4.604166667,raw_midi,1,
329,39374,82.02916667,D5,70,519,1.08125,raw_midi_overlapped,3,
330,39538,82.37083333,G5,76,185,0.3854166667,raw_midi,3,
331,39548,82.39166667,E5,69,176,0.3666666667,raw_midi,3,
332,39725,82.76041667,G5,81,1683,3.50625,raw_midi,1,
333,39729,82.76875,E5,82,500,1.041666667,raw_midi_overlapped,1,
334,39891,83.10625,F#5,84,172,0.3583333333,raw_midi,3,
335,39893,83.11041667,D5,70,2,0.004166666667,raw_midi,3,
336,40065,83.46875,F#5,86,1343,2.797916667,raw_midi,1,
337,40069,83.47708333,D5,60,520,1.083333333,raw_midi,1,
338,40229,83.81041667,E5,69,4,0.008333333333,raw_midi,3,
339,40234,83.82083333,C#5,63,187,0.3895833333,raw_midi_overlapped,3,
340,40401,84.16875,E5,70,1007,2.097916667,raw_midi,1,
341,40421,84.21041667,C#5,74,4,0.008333333333,raw_midi,1,
342,40593,84.56875,B4,66,161,0.3354166667,raw_midi,3,
343,40593,84.56875,D5,75,165,0.34375,raw_midi_overlapped,3,
344,40755,84.90625,B4,77,484,1.008333333,raw_midi,1,
345,40758,84.9125,D5,63,3,0.00625,raw_midi,1,
346,40919,85.24791667,C#5,64,180,0.375,raw_midi,3,
347,40923,85.25625,A4,62,167,0.3479166667,raw_midi_overlapped,3,
348,41090,85.60416667,A4,65,1,0.002083333333,raw_midi,1,
349,41099,85.62291667,C#5,65,310,0.6458333333,raw_midi,1,
350,41243,85.92291667,B4,62,190,0.3958333333,raw_midi,3,
351,41245,85.92708333,G4,60,196,0.4083333333,raw_midi_overlapped,3,
352,41281,86.00208333,A4,37,127,0.2645833333,raw_midi,4,
353,41435,86.32291667,B4,69,418,0.8708333333,raw_midi,1,
354,41441,86.33541667,G4,54,2,0.004166666667,raw_midi,1,
355,41593,86.65208333,A4,77,265,0.5520833333,raw_midi,3,
356,41601,86.66875,F#4,55,255,0.53125,raw_midi,3,
357,41858,87.20416667,F#4,46,775,1.614583333,raw_midi,1,
358,41881,87.25208333,D#4,58,753,1.56875,raw_midi,1,
359,42280,88.08333333,A1,40,378,0.7875,raw_midi_overlapped,4,
360,42654,88.8625,G4,45,1577,3.285416667,raw_midi,3,
361,42658,88.87083333,A1,33,3,0.00625,raw_midi,4,
362,42658,88.87083333,E4,40,1550,3.229166667,raw_midi,3,
363,43058,89.70416667,A1,40,607,1.264583333,raw_midi_overlapped,4,
364,43478,90.57916667,G5,65,755,1.572916667,raw_midi,1,
365,43490,90.60416667,E5,51,753,1.56875,raw_midi_overlapped,1,
366,43665,90.96875,A1,38,5,0.01041666667,raw_midi,1,
367,43871,91.39791667,A2,63,362,0.7541666667,raw_midi,3,
368,44023,91.71458333,F#5,79,208,0.4333333333,raw_midi,3,
369,44043,91.75625,D#5,65,191,0.3979166667,raw_midi,3,
370,44240,92.16666667,G5,82,784,1.633333333,raw_midi,1,
371,44243,92.17291667,E5,62,3,0.00625,raw_midi,1,
372,44411,92.52291667,A2,56,1352,2.816666667,raw_midi,1,
373,44606,92.92916667,A3,49,600,1.25,raw_midi,3,
374,44789,93.31041667,F#5,72,219,0.45625,raw_midi,3,
375,44798,93.32916667,D#5,55,283,0.5895833333,raw_midi,3,
376,45026,93.80416667,G5,68,1323,2.75625,raw_midi,1,
377,45033,93.81875,E5,48,816,1.7,raw_midi,1,
378,45208,94.18333333,A3,38,977,2.035416667,raw_midi,1,
379,45409,94.60208333,A4,46,949,1.977083333,raw_midi,3,
380,45581,94.96041667,F#5,69,163,0.3395833333,raw_midi,3,
381,45585,94.96875,D5,63,203,0.4229166667,raw_midi_overlapped,3,
382,45746,95.30416667,F#5,71,608,1.266666667,raw_midi,1,
383,45788,95.39166667,D5,61,3,0.00625,raw_midi,1,
384,45920,95.66666667,E5,72,179,0.3729166667,raw_midi,3,
385,45938,95.70416667,C#5,67,166,0.3458333333,raw_midi_overlapped,3,
386,46100,96.04166667,E5,62,1256,2.616666667,raw_midi,1,
387,46104,96.05,C#5,70,5,0.01041666667,raw_midi,1,
388,46266,96.3875,D5,70,169,0.3520833333,raw_midi,3,
389,46268,96.39166667,B4,59,170,0.3541666667,raw_midi,3,
390,46439,96.74791667,B4,67,492,1.025,raw_midi_overlapped,1,
391,46439,96.74791667,D5,79,965,2.010416667,raw_midi,1,
392,46591,97.06458333,C#5,79,187,0.3895833333,raw_midi_overlapped,3,
393,46623,97.13125,A4,58,155,0.3229166667,raw_midi_overlapped,3,
394,46778,97.45416667,A4,63,1,0.002083333333,raw_midi,1,
395,46778,97.45416667,C#5,79,1,0.002083333333,raw_midi,1,
396,46931,97.77291667,B4,65,3,0.00625,raw_midi,3,
397,46936,97.78333333,G4,55,205,0.4270833333,raw_midi_overlapped,3,
398,46940,97.79166667,A4,49,4,0.008333333333,raw_midi,4,
399,47008,97.93333333,C#5,39,2,0.004166666667,raw_midi,4,
400,47109,98.14375,B4,74,717,1.49375,raw_midi,1,
401,47141,98.21041667,G4,65,4,0.008333333333,raw_midi,1,
402,47286,98.5125,F#4,63,88,0.1833333333,raw_midi,3,
403,47288,98.51666667,A4,67,1,0.002083333333,raw_midi,3,
404,47449,98.85208333,A4,70,4,0.008333333333,raw_midi,1,
405,47464,98.88333333,F#4,44,397,0.8270833333,raw_midi_overlapped,1,
406,47636,99.24166667,E4,54,183,0.38125,raw_midi,3,
407,47636,99.24166667,G4,72,195,0.40625,raw_midi,3,
408,47861,99.71041667,F#4,55,4,0.008333333333,raw_midi,1,
409,47869,99.72708333,D4,51,755,1.572916667,raw_midi,1,
410,48065,100.1354167,A3,60,364,0.7583333333,raw_midi_overlapped,1,
411,48225,100.46875,B4,66,735,1.53125,raw_midi,2,
